epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65362,3.0159,3.71654,2.5168,0.13825,0.14006,0.06178,0.01873,2.70343,3.40395,2.44602,0.000652482,0.000652482,0.000652482
2,8.24911,2.4694,2.87115,1.98291,0.1752,0.06349,0.03954,0.01095,2.74706,3.97808,2.59159,0.00130827,0.00130827,0.00130827
3,11.719,2.34696,2.5693,1.95006,0.01186,0.0582,0.0018,0.00038,3.46235,11.5632,3.09415,0.00195305,0.00195305,0.00195305
4,15.0807,2.26248,2.4107,1.8874,0.03451,0.03175,0.00573,0.00155,3.22546,3.79393,2.69217,0.0019505,0.0019505,0.0019505
5,18.5084,2.17122,2.2153,1.84583,0.21509,0.24339,0.14945,0.04024,2.63865,2.76166,2.60557,0.001934,0.001934,0.001934
6,21.8948,2.09877,2.08818,1.80281,0.2727,0.33924,0.24461,0.07549,2.33528,2.37781,2.25701,0.0019175,0.0019175,0.0019175
7,25.3643,2.00789,1.9397,1.75765,0.26448,0.29365,0.25451,0.10668,2.18894,3.18496,2.18893,0.001901,0.001901,0.001901
8,28.7414,1.90025,1.80009,1.66976,0.39584,0.41799,0.36961,0.15195,2.05436,2.06014,2.08555,0.0018845,0.0018845,0.0018845
9,32.1147,1.84299,1.71991,1.62924,0.53325,0.42857,0.48217,0.19108,2.22131,1.83786,2.18645,0.001868,0.001868,0.001868
10,35.4816,1.81909,1.62343,1.62252,0.45726,0.50794,0.47413,0.20307,2.03871,1.84397,2.04761,0.0018515,0.0018515,0.0018515
11,38.8773,1.74396,1.52236,1.55368,0.61366,0.42442,0.47592,0.19807,2.09778,1.94502,2.08156,0.001835,0.001835,0.001835
12,42.224,1.67723,1.48998,1.50841,0.46003,0.3254,0.31298,0.09628,2.43236,2.62033,2.31564,0.0018185,0.0018185,0.0018185
13,45.6807,1.65223,1.44519,1.50243,0.74406,0.62698,0.72259,0.3322,1.82148,1.3825,1.78151,0.001802,0.001802,0.001802
14,49.0663,1.58824,1.40116,1.46833,0.79769,0.68254,0.79564,0.44027,1.55591,1.24359,1.6312,0.0017855,0.0017855,0.0017855
15,52.4586,1.55145,1.34611,1.44723,0.6904,0.7381,0.76586,0.38367,1.58294,1.31382,1.65911,0.001769,0.001769,0.001769
16,55.796,1.52683,1.29885,1.43631,0.80542,0.65344,0.73904,0.31346,1.89589,1.45268,1.95303,0.0017525,0.0017525,0.0017525
17,59.1481,1.51526,1.24706,1.41391,0.74925,0.77513,0.84098,0.45701,1.56202,1.13521,1.63719,0.001736,0.001736,0.001736
18,62.509,1.47824,1.21638,1.38825,0.72174,0.57672,0.66611,0.32326,1.72718,1.70411,1.75801,0.0017195,0.0017195,0.0017195
19,65.8869,1.44537,1.20501,1.37153,0.78201,0.82275,0.86638,0.50868,1.48051,0.99501,1.55652,0.001703,0.001703,0.001703
20,69.2577,1.44572,1.17543,1.35926,0.90248,0.75897,0.8985,0.56492,1.31994,1.0429,1.41822,0.0016865,0.0016865,0.0016865
21,72.6263,1.41108,1.12509,1.33626,0.79883,0.75638,0.86418,0.50357,1.35454,1.0463,1.49893,0.00167,0.00167,0.00167
22,75.9745,1.35747,1.09826,1.31953,0.91742,0.88176,0.96407,0.62941,1.1696,0.82472,1.35387,0.0016535,0.0016535,0.0016535
23,79.3395,1.35822,1.0769,1.31037,0.87325,0.89306,0.95877,0.61429,1.24185,0.82262,1.37282,0.001637,0.001637,0.001637
24,82.6958,1.35444,1.0397,1.30613,0.89336,0.84392,0.939,0.64923,1.12403,0.87657,1.29291,0.0016205,0.0016205,0.0016205
25,86.0695,1.32693,1.01708,1.28224,0.80083,0.79101,0.84439,0.45321,1.65584,1.05232,1.70964,0.001604,0.001604,0.001604
26,89.4162,1.30456,0.98557,1.26935,0.80687,0.90631,0.91489,0.60807,1.19274,0.83889,1.3589,0.0015875,0.0015875,0.0015875
27,92.7701,1.29723,0.9848,1.25809,0.85146,0.89468,0.93755,0.62542,1.1712,0.82256,1.29899,0.001571,0.001571,0.001571
28,96.1065,1.25687,0.94313,1.24334,0.87962,0.81192,0.91094,0.57984,1.26602,0.88556,1.4049,0.0015545,0.0015545,0.0015545
29,99.4763,1.25821,0.94554,1.24682,0.87694,0.8836,0.94463,0.63661,1.1377,0.81752,1.28103,0.001538,0.001538,0.001538
30,102.82,1.23185,0.92273,1.21911,0.95969,0.94487,0.9854,0.68241,1.13103,0.66051,1.26992,0.0015215,0.0015215,0.0015215
31,106.179,1.24473,0.90816,1.22722,0.90851,0.96032,0.97201,0.65286,1.16842,0.73289,1.3422,0.001505,0.001505,0.001505
32,109.533,1.21456,0.88999,1.21413,0.90532,0.95767,0.9626,0.69819,1.00728,0.67081,1.18997,0.0014885,0.0014885,0.0014885
33,112.896,1.17809,0.85138,1.18563,0.93401,0.93612,0.97156,0.62161,1.19573,0.69092,1.33439,0.001472,0.001472,0.001472
34,116.275,1.16336,0.82546,1.18851,0.9308,0.95238,0.97945,0.68469,1.07215,0.64662,1.20258,0.0014555,0.0014555,0.0014555
35,119.615,1.17196,0.83757,1.18341,0.88748,0.89722,0.95984,0.65719,1.14481,0.76005,1.27134,0.001439,0.001439,0.001439
